"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",1558,1683,1773,1883,2063,2257,2363,2369,2277,2414,2521,2656,2699,2777
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",703,642,670,738,800,938,959,1039,938,1090,1098,1044,1025,1086
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",4246,3886,5126,6272,7682,8529,7596,9213,6455,8458,10236,9178,8195,8623
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",7210,7491,7642,8041,8460,9205,9817,10468,10512,10945,10966,11579,11779,12182
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",87.321,88.867,90.929,95.450,96.660,101.681,96.545,99.887,100.000,106.309,108.794,106.980,100.994,104.073
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",87.144,88.391,90.318,95.290,96.732,102.462,96.822,100.872,100.000,106.987,109.377,107.424,101.382,105.688
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",77.188,85.478,91.953,98.381,90.778,109.542,100.136,88.645,100.000,77.941,67.797,"(D)",88.959,85.064
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",128.303,143.283,161.517,196.554,156.533,202.241,140.659,62.595,100.000,70.988,52.387,87.393,99.945,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities",58.295,64.221,66.966,63.758,67.007,77.023,84.377,96.636,100.000,79.890,72.662,"(D)",83.030,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining",117.069,109.808,90.655,90.684,83.026,99.258,80.905,90.003,100.000,107.463,116.085,104.092,88.290,94.998
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)",45.133,51.618,77.756,78.303,102.293,100.000,138.292,164.645,130.576,92.956,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities",121.813,106.591,102.580,105.629,105.162,120.140,119.341,124.843,100.000,128.510,125.082,108.287,109.006,104.081
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",92.315,87.710,89.953,90.167,92.073,91.233,99.148,107.816,100.000,113.909,109.142,107.927,103.763,"(D)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",82.629,91.267,126.662,154.496,169.866,157.643,132.364,118.120,100.000,123.340,131.689,"(D)",113.188,"(D)"
