"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",201,224,229,248,287,292,292,308,320,325,316,332,344,337
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",3773,4071,4569,4809,5470,6336,7210,7977,8342,8121,8398,8133,7646,7707
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",471,520,542,501,548,660,702,851,997,1125,1197,1159,1080,"(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",2362,2544,2970,3217,3772,4477,5219,5765,5907,5481,5659,5368,4924,"(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",939,1006,1058,1091,1150,1199,1289,1360,1437,1515,1542,1607,1642,"(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",28,37,65,86,77,90,71,62,53,76,67,121,121,117
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",951,992,1009,1002,1091,1158,1227,1291,1326,1386,1428,1555,1642,1762
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",266,255,273,345,384,436,419,479,493,532,565,605,579,574
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",1048,1071,1081,1257,1310,1439,1455,1394,1421,1474,1494,1656,1801,1925
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",3255,3391,3622,3844,4363,4675,4913,5300,5506,5728,5816,6134,6451,6589
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",68.672,70.180,73.163,75.504,81.179,87.102,91.726,96.908,100.000,98.400,99.111,98.668,97.235,97.524
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",75.171,76.740,79.693,84.067,90.502,94.118,95.297,98.492,100.000,102.882,102.572,106.699,110.964,112.369
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)",88.985,91.123,99.662,97.009,94.792,86.969,85.079,100.000,104.592,"(D)","(D)","(D)",127.964
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",89.691,94.859,100.304,104.776,102.557,100.220,97.897,97.087,100.000,103.175,102.721,107.429,118.563,128.903
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",98.448,94.921,87.063,101.877,101.106,106.406,107.633,100.370,100.000,100.789,98.708,102.818,108.871,110.758
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
