"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",488,539,604,654,680,714,770,806,836,871,891,896,899,908
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",130,154,195,212,213,232,262,290,284,292,283,269,258,"(NA)"
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",7,9,12,13,15,17,18,21,23,23,22,21,21,"(NA)"
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",352,376,396,429,452,465,490,495,530,556,586,605,620,"(NA)"
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",30,24,24,34,34,31,25,25,22,"(D)",26,32,35,"(D)"
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",340,"(D)","(D)","(D)",427
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)",158,156,155,174,179,"(D)",188
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",578,560,592,633,645,656,615,607,623,575,580,616,550,481
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",1380,1455,1556,1668,1784,1963,2000,2017,1975,1866,1855,1879,1996,2066
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",88.418,90.363,95.551,99.860,101.398,105.012,103.294,102.264,100.000,95.207,94.332,94.014,93.359,91.510
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",91.337,92.401,97.262,102.042,104.110,108.534,105.220,103.402,100.000,93.302,92.055,91.855,91.488,89.206
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15260","Brunswick, GA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",225.460,150.340,152.364,153.623,153.348,76.924,71.112,127.709,100.000,126.705,80.985,172.453,194.799,"(NA)"
