"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction",7.674,9.516,24.265,80.005,66.364,172.055,158.535,98.378,100.000,25.446,6.489,116.390,278.940,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining",0.000,0.000,0.000,"(D)","(D)","(D)",0.000,0.000,0.000,0.000,0.000,"(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities",103.315,113.575,101.450,103.866,111.414,120.380,108.261,108.812,100.000,117.175,108.293,92.425,96.491,96.374
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",140.842,128.147,126.990,125.258,126.199,129.522,132.110,122.298,100.000,93.415,85.983,110.366,109.024,97.623
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",120.262,126.252,135.943,125.460,125.540,132.634,128.481,120.789,100.000,124.200,141.918,141.138,138.151,140.839
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing",114.368,135.231,151.431,135.100,141.871,154.766,139.274,135.823,100.000,141.769,172.365,180.304,176.318,183.900
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","16","331","    Primary metals manufacturing",227.468,224.139,257.951,163.072,259.063,168.828,115.172,118.799,100.000,117.761,89.916,"(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","17","332","    Fabricated metal products","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","18","333","    Machinery manufacturing","(D)","(D)","(D)","(D)","(D)",99.635,123.736,102.358,100.000,84.194,92.462,93.406,91.325,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","19","334","    Computer and electronic products manufacturing","(D)","(D)","(D)","(D)","(D)",77.508,82.417,115.078,100.000,127.206,203.962,299.266,342.275,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing",73.064,54.441,58.932,57.734,73.589,103.514,90.836,100.042,100.000,106.173,107.766,104.114,65.272,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","23","337","    Furniture and related products manufacturing",41.035,45.628,35.878,40.329,93.462,137.950,131.527,85.065,100.000,108.140,145.606,187.764,40.427,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","24","339","    Miscellaneous manufacturing","(D)","(D)","(D)","(D)","(D)",98.281,91.809,95.329,100.000,78.216,65.055,58.861,61.542,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","25","...","   Nondurable goods manufacturing",131.926,117.752,118.836,116.079,107.222,107.238,116.369,103.827,100.000,104.559,108.620,99.089,97.164,94.813
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","27","313-314","    Textile mills and textile product mills","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)",59.608,71.739,86.407,70.626,61.526,57.309,74.955,100.000,133.473,175.781,267.746,303.448,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","30","323","    Printing and related support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","32","325","    Chemical products manufacturing","(D)","(D)",73.274,73.520,56.761,69.193,"(D)",87.434,100.000,"(D)","(D)","(D)","(D)","(NA)"
