"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",160,166,176,189,203,219,235,245,247,253,267,297,314,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",333,369,404,434,432,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",1122,1173,1231,1309,1418,1508,1588,1726,1748,1821,1887,1887,1956,1998
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",83,85,88,91,93,97,101,101,104,110,104,103,98,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",72,82,108,113,137,134,135,150,172,178,182,172,163,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",967,1006,1035,1105,1188,1278,1352,1474,1472,1533,1602,1612,1695,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining","(D)",51,75,"(D)",126,"(D)","(D)","(D)","(D)",154,"(D)","(D)","(D)","(D)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",1196,1198,1249,1397,1538,1739,"(D)",1906,1856,1960,2110,2226,2477,2484
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",152,184,206,229,247,287,306,290,281,316,328,298,310,328
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",1853,1778,1877,2168,2454,"(D)","(D)","(D)","(D)",3414,"(D)","(D)","(D)","(D)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",5724,6314,6939,7488,8189,"(D)","(D)","(D)","(D)",10169,"(D)","(D)","(D)","(D)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",69.115,72.239,77.036,81.833,87.131,94.809,103.612,102.298,100.000,100.696,103.648,108.341,113.821,117.891
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",66.946,70.326,75.603,80.850,86.356,94.753,104.535,102.438,100.000,100.603,103.710,109.254,115.192,119.762
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",97.114,87.471,123.713,146.230,185.459,148.317,171.358,148.234,100.000,156.228,157.903,171.747,187.013,"(NA)"
