"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",511,511,543,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",69,79,"(D)","(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",937,983,1044,1141,1163,1209,1271,1347,1475,1537,1556,1584,1618,1641
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)",37,"(D)",40,39,34,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)",946,"(D)",1101,1124,1174,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",472,500,518,561,561,594,630,663,736,772,785,802,822,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance",49,"(D)",56,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",85,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",440,480,510,516,569,619,636,601,620,640,666,750,863,927
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",49,52,56,60,64,68,62,71,69,73,73,88,103,109
