"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",549,"(NA)"
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",2760,2952,3153,3373,3500,3824,3876,3924,3847,4045,4171,4602,4659,5072
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation","(D)","(D)","(D)",1010,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1647,1846
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)","(D)","(D)",2363,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3013,3226
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2142,"(D)","(NA)"
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government","(D)","(D)",1723,1788,"(D)","(D)","(D)","(D)","(D)","(D)",2193,2367,2419,2617
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",5255,5857,5961,6359,6968,7329,7286,8121,8599,8232,8498,8827,9043,9164
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",1050,1378,1423,1492,1412,1492,1574,1518,1741,1712,1704,1691,1739,"(NA)"
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",228,262,317,335,362,358,370,407,428,417,385,367,361,"(NA)"
