"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)",13,"(D)","(D)","(D)",5,5,4,"(D)","(D)",2,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",584,487,509,558,604,653,826,851,910,850,765,718,777,837
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",106,124,137,147,147,138,154,148,158,135,116,123,161,180
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",63,80,90,92,79,72,75,77,68,66,56,58,60,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(L)","(L)","(L)","(D)","(D)","(D)","(L)","(D)","(D)","(D)","(L)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",479,362,371,412,457,515,671,703,752,715,648,595,616,657
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate","(D)",300,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",590,532,550,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)",62,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",58,63,66,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",240,244,"(D)","(D)","(D)",317,356,370,391,407,390,370,350,359
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",134,130,132,130,136,148,163,"(D)","(D)",197,199,"(D)",189,187
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",36,37,39,37,43,45,51,55,56,66,50,47,55,61
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",70,77,"(D)","(D)","(D)",123,142,"(D)","(D)",144,141,"(D)",106,112
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services",66,74,83,93,107,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services",4,3,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",338,361,397,441,460,476,490,525,538,562,582,631,652,651
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)",15,18,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",28,31,"(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)",346,378,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",554,601,"(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",156,169,179,197,202,206,212,229,235,240,263,294,308,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)",224,"(D)","(D)","(D)","(D)","(D)",271,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",144,174,187,187,183,194,196,199,194,202,214,233,235,243
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation","(D)","(D)","(D)",28,24,26,"(D)",20,"(D)",17,"(D)","(D)",26,28
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",8,"(D)","(D)",22,18,20,18,13,11,"(D)","(D)","(D)","(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)",6,6,6,"(D)",7,"(D)","(D)","(D)","(D)","(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)","(D)","(D)",159,159,168,"(D)",179,"(D)",184,"(D)","(D)",208,215
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
