"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",7,9,13,14,15,14,16,17,19,16,16,18,17,"(NA)"
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",261,268,283,297,315,336,353,369,380,383,384,391,401,"(NA)"
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining","(D)",35,58,73,52,"(D)","(D)","(D)",51,62,70,91,104,"(D)"
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)",377,"(D)","(D)","(D)","(D)","(D)","(D)",435,483,494,530,544,550
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",140,139,140,168,200,267,269,286,273,207,178,175,"(D)","(D)"
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",616,670,675,701,726,747,727,701,739,757,775,784,792,774
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",1609,1636,1728,1769,1882,2025,2209,2291,2372,2344,2305,2346,2476,2530
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",83.731,85.552,88.006,88.580,91.461,94.460,97.564,97.882,100.000,98.085,96.170,95.652,97.575,96.927
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",82.558,84.539,87.084,87.727,90.792,93.911,97.483,97.677,100.000,98.028,96.100,95.520,97.758,97.132
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",87.085,93.163,168.033,195.355,125.252,103.920,40.604,154.448,100.000,109.497,104.559,141.377,168.767,"(NA)"
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
