"48620","Wichita, KS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",179,"(NA)"
"48620","Wichita, KS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",942,"(D)"
"48620","Wichita, KS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",138,"(NA)"
"48620","Wichita, KS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",494,578,641,707,672,"(D)","(D)",681,"(D)","(D)","(D)",791,804,"(NA)"
"48620","Wichita, KS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",501,"(D)",529,531,552,575,590,579,582,601,607,622,"(D)","(D)"
"48620","Wichita, KS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",2049,2196,2309,2429,2531,2669,2798,2929,3010,3074,3142,3173,3162,3179
"48620","Wichita, KS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",354,383,399,415,430,467,461,455,480,534,548,531,462,"(NA)"
"48620","Wichita, KS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",235,281,328,353,386,385,367,360,389,401,402,402,394,"(NA)"
"48620","Wichita, KS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",1460,1532,1583,1660,1715,1817,1970,2114,2142,2139,2192,2240,2306,"(NA)"
"48620","Wichita, KS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining","(D)","(D)","(D)","(D)","(D)","(D)",765,"(D)","(D)",983,"(D)","(D)",1476,1525
