"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",65,78,88,93,93,98,107,105,109,107,115,117,127,129
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",54,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",73,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",343,358,368,384,391,389,383,391,387,390,403,434,438,449
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)",44,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places","(D)","(D)",324,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",345,360,355,375,377,379,378,"(D)",379,392,403,428,434,454
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",1072,1114,1160,1225,1286,1496,1351,1416,1456,1459,1477,1478,1479,1487
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",165,176,182,192,196,207,214,210,217,224,217,218,214,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",50,54,67,69,77,76,81,90,97,97,99,90,87,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",857,883,911,964,1013,1213,1057,1116,1142,1138,1160,1171,1178,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining","(D)",50,"(D)",138,"(D)",116,"(D)",169,"(D)","(D)",197,244,276,215
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",851,"(D)",868,"(D)",1050,"(D)",1042,1140,1100,1100,"(D)",1207,"(D)","(D)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",3978,4143,4264,4288,4484,4656,5002,4623,4051,5001,5061,5238,5577,5652
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",9386,9494,9685,10100,10525,11045,11399,11321,11243,11400,11766,12426,12556,12908
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",98.972,99.881,101.221,102.309,104.532,108.177,109.466,106.053,100.000,106.076,107.527,109.987,110.874,111.289
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",98.912,99.882,101.332,102.468,104.816,107.723,110.514,106.654,100.000,106.906,108.564,111.399,112.527,113.088
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",41.779,28.088,74.903,91.317,56.018,84.346,63.711,84.844,100.000,76.568,101.808,129.972,144.890,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction",211.121,402.910,206.264,146.741,54.663,117.073,166.777,101.546,100.000,98.568,75.526,98.773,86.379,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"(D)","(D)","(D)",0.000,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",158.346,146.110,148.843,145.300,136.636,127.248,122.577,113.052,100.000,102.801,105.173,103.564,100.880,97.180
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",92.030,99.374,102.571,102.378,109.396,114.954,126.412,116.982,100.000,131.466,131.967,132.913,141.829,143.360
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing",92.550,100.071,104.248,103.433,113.744,120.279,132.438,122.537,100.000,137.476,138.090,142.231,151.978,153.114
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","17","332","    Fabricated metal products",122.898,126.692,130.085,132.402,138.824,169.992,181.043,156.118,100.000,130.339,135.758,141.836,142.862,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","18","333","    Machinery manufacturing",152.798,124.300,104.275,128.813,140.040,144.624,145.582,147.025,100.000,110.958,103.328,101.177,104.361,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","19","334","    Computer and electronic products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",136.234,100.000,94.884,123.748,"(D)",48.492,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","23","337","    Furniture and related products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)",145.310,127.803,100.000,"(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","24","339","    Miscellaneous manufacturing","(D)","(D)","(D)","(D)","(D)","(D)",96.883,89.163,100.000,124.590,123.130,98.367,85.017,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","25","...","   Nondurable goods manufacturing",92.784,99.645,99.095,101.359,95.651,97.695,106.826,98.932,100.000,112.714,112.863,104.388,110.799,113.436
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","27","313-314","    Textile mills and textile product mills","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)",19.173,"(D)","(D)","(D)","(D)","(D)","(D)",100.000,"(D)","(D)","(D)","(D)","(NA)"
