"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",122,126,125,135,146,149,157,154,134,138,152,163,178,"(NA)"
"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",431,476,523,569,597,615,586,575,609,626,644,664,694,"(NA)"
"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",611,670,681,733,762,790,801,817,818,822,841,857,883,916
"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",4377,4567,4798,4912,5072,5280,5414,5646,5936,6219,6392,6729,6950,7049
"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",418,440,477,522,542,565,560,592,611,659,685,694,680,"(NA)"
"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",46,56,73,86,89,88,93,98,104,102,103,98,97,"(NA)"
"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",3913,4071,4248,4304,4440,4627,4761,4956,5222,5458,5604,5936,6172,"(NA)"
"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)",487,388,596,780,638,855,905
"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4210,4155,4200,4393,4566,4786,4949
"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",722,729,779,861,896,968,961,939,952,1122,1158,1168,1236,1323
"31540","Madison, WI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",4333,4439,4661,5015,5418,5707,5892,5284,5154,5432,5639,5746,6243,6352
